class	channel	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255
plant	hue	1.1651312401037996e-53	1.5804728208127284e-50	1.705171608317277e-47	1.4632564472450202e-44	9.987277832223934e-42	5.421905862477692e-39	2.3412068368196982e-36	8.041121474079698e-34	2.1967979782649795e-31	4.773862289281986e-29	8.252167524627095e-27	1.1347490885558737e-24	1.2413223763449057e-22	1.0803055565569257e-20	7.480260284062693e-19	4.121296600144875e-17	1.806955834311955e-15	6.305514658713187e-14	1.7515917583180818e-12	3.874242187289584e-11	6.825162362697995e-10	9.580310985331196e-09	1.0720206892163192e-07	9.568933031749498e-07	6.819038726412552e-06	3.8837587889420245e-05	0.00017703549446576255	0.0006470473904865183	0.0019006280579833671	0.004500484378490587	0.008625018855401694	0.013454442418021942	0.017245711424233444	0.01852178935961	0.01745476072530929	0.01595159001866647	0.016213493294977115	0.019136621772088733	0.023937647975998743	0.02904297568633772	0.03325667446946706	0.03637611110953244	0.03904542932155292	0.04209298677752374	0.04611154033898532	0.05183885610092041	0.060262793929598615	0.0710230449558028	0.08061535572940054	0.08367882626960749	0.0771437805266788	0.06285834212445976	0.04593513323069637	0.031032036797509918	0.02018170397760354	0.013069579888473942	0.008424604864894514	0.005182353057289119	0.002871223021412524	0.001366633682756306	0.0005422810528027791	0.000176327224291476	4.6532895073517136e-05	9.911261554680885e-06	1.6979551143364158e-06	2.334204779187345e-07	2.57055225180396e-08	2.2647155238880387e-09	1.5945478224809714e-10	8.964337044198196e-12	4.021070398589588e-13	1.4382974318101444e-14	4.100394271713176e-16	9.313162437263536e-18	1.684691191240103e-19	2.4264909851862067e-21	2.782134428320312e-23	2.5388822319182713e-25	1.843787291371199e-27	1.0654516430224686e-29	4.898599547536669e-32	1.7918178973950914e-34	5.2140397282246486e-37	1.2069609215026182e-39	2.2224624410066326e-42	3.255256350832394e-45	3.792584776378034e-48	3.5146056913976687e-51	2.590613664289844e-54	1.5188268789832165e-57	7.082545479699494e-61	2.626894789653498e-64	7.749355723066845e-68	1.818260306296832e-71	3.3932231142102736e-75	5.036552490922429e-79	5.945903551332497e-83	5.582967189430234e-87	4.169407580596916e-91	2.4765389600353726e-95	1.1699763885990436e-99	4.396122830507827e-104	1.3137812641327579e-108	3.122745740518459e-113	5.903510407514262e-118	8.876547003020005e-123	1.0615432441274913e-127	1.0096971960102397e-132	7.63843467304864e-138	4.5959711429106405e-143	2.1994286674225385e-148	8.371477217332989e-154	2.5342760617698944e-159	6.101903360635542e-165	1.1685203880945891e-170	1.7797820204065614e-176	2.1560403142429552e-182	2.0773346812678004e-188	1.5918993015339966e-194	9.70251299518559e-201	4.70340514797529e-207	1.8134269265740066e-213	5.5609275887785356e-220	1.356294272702021e-226	2.630995600740321e-233	4.059250200668853e-240	4.9811660967329494e-247	4.861560884587292e-254	3.773809182537538e-261	2.329934147024857e-268	1.1441075645660383e-275	4.468374540540976e-283	1.3880073980070307e-290	3.4292053571706684e-298	6.738367707011377e-306	1.0531140801e-313	1.304e-321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
background	hue	0.0014746650147472447	0.0015857084188096533	0.0017016639675465335	0.001822717300628882	0.0019490782093994346	0.0020809720889465996	0.0022186279151095224	0.002362262773635645	0.00251206315259874	0.002668163405088204	0.0028306219876436593	0.002999396270311754	0.0031743168852912023	0.003355062721638663	0.003541137772830682	0.0037318510928768664	0.003926301107953296	0.00412336545959958	0.004321697420937838	0.004519729731096039	0.004715686440580031	0.004907603060743962	0.00509335497592964	0.00527069372210951	0.0054372903777358825	0.005590784968804978	0.00572884047880863	0.0058491997922566485	0.0059497437028426334	0.006028547996247509	0.006083937581509615	0.0061145356980565144	0.0061193063675087705	0.006097588485162762	0.006049120246108599	0.005974052961717815	0.005872953726967119	0.005746796828644217	0.005596944218547862	0.005425115793872828	0.00523335060962169	0.005023960477763827	0.0047994776706476415	0.004562598631287126	0.004316125694233912	0.00406290883588791	0.0038057894047411225	0.0035475476366770746	0.003290855548042572	0.0030382365324994605	0.002792032681272509	0.0025543805159212556	0.002327195483805192	0.00211216523379098	0.0019107513767118195	0.0017241991527243872	0.0015535541845575834	0.0013996852974885127	0.0012633122367263078	0.0011450370111454012	0.001045377537121715	0.0009648022438832743	0.0009037643272580928	0.0008627343961690599	0.000842230339616482	0.0008428433453622379	0.0008652591198752436	0.0009102734880378437	0.0009788016874814954	0.0010718808142236309	0.0011906650226325528	0.0013364132337114391	0.0015104692620060943	0.0017142344341986035	0.0019491329427323923	0.002216570356311118	0.0025178858957536263	0.0028542992773203228	0.003226853123771156	0.003636352142102517	0.004083300460626555	0.004567838699821648	0.005089682512940635	0.005648064464511399	0.006241681207883796	0.006868647967174877	0.007526462315283578	0.008211979160308558	0.008921398701876571	0.009650268893288523	0.010393503644825034	0.011145417631321857	0.011899778130269444	0.012649873826039135	0.013388599985838624	0.01410855886132287	0.014802173616715401	0.015461813551893638	0.016079927900038538	0.01664918505670742	0.01716261376167387	0.017613742525067456	0.017996733480021922	0.018306506865339352	0.018538852498365604	0.018690524889270147	0.018759319066129855	0.01874412471264958	0.01864495684860614	0.018462961984097515	0.01820039942569001	0.01786059817643484	0.01744789062227356	0.016967524904771873	0.01642555851644109	0.015828736195333846	0.015184355619698147	0.014500124696127714	0.013784014386727012	0.013044111029560322	0.012288471975704063	0.011524988105304895	0.01076125640939269	0.010004465353653175	0.009261295198299426	0.008537834860226565	0.007839516296343652	0.007171066786485038	0.006536478925016118	0.005938997613723602	0.005381122902535313	0.004864627162251873	0.004390584803012603	0.003959412576782735	0.003570918419903342	0.0032243567963190062	0.0029184885832590243	0.0026516436856415197	0.00242178475800979	0.0022265706371197387	0.0020634183281531483	0.0019295626277398461	0.001822112694213126	0.0017381050790283717	0.001674552905282307	0.0016284910152621038	0.0015970170076452437	0.0015773281480928603	0.0015667541688503706	0.001562785979925422	0.0015631003041235367	0.0015655802289555635	0.0015683316483290643	0.0015696955533403755	0.0015682561303712857	0.0015628446402529586	0.0015525390866317264	0.0015366597348745467	0.001514760612874602	0.0014866172081739084	0.0014522106667336446	0.0014117088913677166	0.0013654450258421215	0.001313893887620649	0.0012576469725512666	0.0011973866938686261	0.0011338605325785323	0.0010678557650453662	0.0010001753965619708	0.0009316158686072046	0.000862947025598762	0.0007948947286128278	0.000728126393980727	0.0006632396195481739	0.0006007539464139599	0.0005411056945609594	0.0004846457117326749	0.00043163979008858553	0.0003822714374331249	0.0003366466408545019	0.00029480023098515533	0.00025670344428721227	0.0002222722873197041	0.00019137632865218288	0.00016384757820184538	0.00013948915721863703	0.00011808351175038994	9.939997510450033e-05	8.320153775545622e-05	6.925073388187002e-05	5.7314600271603e-05	4.7168704237688875e-05	3.8600271484527435e-05	3.141047208430051e-05	2.5415942833686496e-05	2.044963759068297e-05	1.6361104353800918e-05	1.3016289653256127e-05	1.029696820617963e-05	8.099889720210011e-06	6.33572616948609e-06	4.927892704907976e-06	3.8113043854386237e-06	2.931119793973405e-06	2.2415118604090257e-06	1.7044962521890242e-06	1.2888387785939356e-06	9.690555464204054e-07	7.24513162972893e-07	5.38631092320671e-07	3.9818425970587065e-07	2.9270105408614244e-07	2.1394986325306842e-07	1.5550604222469405e-07	1.1239061594399749e-07	8.077191173771066e-08	5.772157864652592e-08	4.10169691240346e-08	2.8982540977297004e-08	2.0363708820461738e-08	1.4227376531410667e-08	9.884172115939457e-09	6.828153884190933e-09	4.69044262445732e-09	3.203847843209093e-09	2.1760930597617075e-09	1.4697063550823749e-09	9.87031941398028e-10	6.591425820972047e-10	4.376984992640301e-10	2.8901359551491746e-10	1.8976189779801136e-10	1.238931468266393e-10	8.043278002186788e-11	5.19237920590068e-11	3.333091615884034e-11	2.1275296784028363e-11	1.350366109237877e-11	8.522655995304243e-12	5.3486713728065e-12	3.3378314174663392e-12	2.07123991959327e-12	1.2780385215716264e-12	7.841605816004178e-13	4.784247043218482e-13	2.902483193861458e-13	1.7509484377257536e-13	1.0503269938180154e-13	6.265030996055844e-14	3.715946456463561e-14	2.1916096189151082e-14	1.2852999034723724e-14	7.495373496205424e-15	4.346399171617964e-15	2.5061869632464647e-15	1.4369605674521567e-15
infection	hue	2.1099065320468037e-52	5.828970159533422e-49	1.2073471419443638e-45	1.8749923306523737e-42	2.1833040706593915e-39	1.9063536960551037e-36	1.248255166804727e-33	6.130020207046692e-31	2.258098276764348e-28	6.240662907544154e-26	1.2943075292554935e-23	2.015166138800125e-21	2.3563798155225095e-19	2.070596696000198e-17	1.368337893892915e-15	6.807190548468726e-14	2.552518505128611e-12	7.225907825029493e-11	1.547417761382716e-09	2.512940851487974e-08	3.1038966471790554e-07	2.9263268518210535e-06	2.114777928833562e-05	0.0001177529378975209	0.0005085567440977823	0.0017197233202418144	0.004619341705796367	0.010078525565823353	0.01843377430411554	0.029269142008752882	0.04127868651036397	0.051634170984751725	0.056253044787786366	0.05263243647431158	0.042723964009452935	0.03206872092791081	0.02647459715615494	0.029742266013113132	0.0422410827273406	0.05948669151971631	0.07386828708399752	0.08051989238687791	0.08032288603164087	0.07568498789795837	0.06640479829436319	0.05197703696979794	0.03510361660103775	0.02025856246956111	0.010050965569140856	0.0043061163403347695	0.0015747540693462538	0.00047825775274456704	0.00011686117539018454	2.238271397836548e-05	3.301206963331382e-06	3.7084432440739867e-07	3.1525809984688244e-08	2.0205451896035856e-09	9.742029239466139e-11	3.5289681665413603e-12	9.596774070870352e-14	1.9582740759551372e-15	2.9975101174074865e-17	3.4411343674535757e-19	2.9623747670095227e-21	1.9122189646492222e-23	9.254824693078884e-26	3.3582520670478325e-28	9.136077944837166e-31	1.863366510263248e-33	2.8491933095446698e-36	3.2660714468529175e-39	2.8067640066006727e-42	1.8082557209054778e-45	8.733443412730005e-49	3.1621421329685405e-52	8.583143206657367e-56	1.746544244716885e-59	2.664283675620236e-63	3.046832000709685e-67	2.6120613732292893e-71	1.6787452962542347e-75	8.088213537097898e-80	2.9213704353654776e-84	7.910187228046253e-89	1.6056575509354413e-93	2.443346482691788e-98	2.7872961210485774e-103	2.3836750522326154e-108	1.5281882404663124e-113	7.344673557928896e-119	2.6462688819678117e-124	7.1476167603200356e-130	1.4472859819781356e-135	2.196915005163228e-141	2.4999881629380156e-147	2.1326934928952385e-153	1.3639069018739053e-159	6.538931684001258e-166	2.3501450163537423e-172	6.33210794660897e-179	1.2789917550383598e-185	1.9366581399689255e-192	2.1983861112699125e-199	1.8707715759727668e-206	1.1934475535440938e-213	5.70757594481075e-221	2.0462836945863724e-228	5.499785766599057e-236	1.1081319735557153e-243	1.6737977642478635e-251	1.8953100476352883e-259	1.6088788054212228e-267	1.023840205930526e-275	4.884350416391454e-284	1.7468162828326417e-292	4.683315687539483e-301	9.41294278384724e-310	1.418285e-318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
plant	saturation	1.5155402211503958e-21	4.197747011100356e-21	1.1477105745452467e-20	3.0975416951763126e-20	8.252242028208234e-20	2.1701920462541495e-19	5.633745529834448e-19	1.4436788887373135e-18	3.651907908735364e-18	9.118983198239517e-18	2.247770668058856e-17	5.4693814863077146e-17	1.3137319501618712e-16	3.1150095897017557e-16	7.291181372646025e-16	1.684706194709094e-15	3.842732352876032e-15	8.652623381459324e-15	1.9233098194075063e-14	4.2203323114758424e-14	9.142021950173975e-14	1.9549625362507338e-13	4.1270302662384907e-13	8.600872078613338e-13	1.7695207426962678e-12	3.5940161156287503e-12	7.206403748906957e-12	1.426509135766833e-11	2.787733802034479e-11	5.378391518003129e-11	1.0244286605281203e-10	1.9263859733085126e-10	3.5763626268965537e-10	6.555127364088838e-10	1.1862251125417282e-09	2.119360947628248e-09	3.7385264221772515e-09	6.511185381823852e-09	1.1196715768648523e-08	1.901077163748785e-08	3.187098724310105e-08	5.275782671778576e-08	8.623501580682685e-08	1.3918628805122898e-07	2.2183855568566365e-07	3.4915497671724815e-07	5.426929878645357e-07	8.330297258705616e-07	1.2628571442311915e-06	1.890837713376205e-06	2.7962847303902125e-06	4.084685037628516e-06	5.894013394598547e-06	8.40169577991186e-06	1.1831965319179728e-05	1.6463224952399324e-05	2.2634895436078923e-05	3.0753100449303296e-05	4.129444097901985e-05	5.4807059680415854e-05	7.190821325872435e-05	9.32776743654477e-05	0.0001196464841941034	0.0001517808724671001	0.0001904615392810016	0.00023645892579292438	0.00029050554784501684	0.00035326687944487454	0.00042531260002720637	0.0005070902140853234	0.0005989030804021428	0.0007008947364626978	0.0008130410805510297	0.0009351515112025817	0.0010668795708477766	0.0012077430567901115	0.0013571530056163442	0.0015144504715236455	0.0016789496285272325	0.0018499854302565703	0.00202696383690019	0.0022094124329311076	0.002397029080203396	0.002589726065697792	0.0027876670293044653	0.0029912938485778286	0.003201340699855809	0.003418832809305124	0.0036450680439209433	0.0038815805213891696	0.00413008682053657	0.004392417045448965	0.004670434742056459	0.004965951221700272	0.005280640916145571	0.00561596469956581	0.005973107474693531	0.0063529346785419286	0.0067559698353546966	0.007182392166072166	0.0076320499998318485	0.008104482858084098	0.008598943133452417	0.009114407708397672	0.009649570915921248	0.010202812951981817	0.01077214194979676	0.011355112908827233	0.011948731835926615	0.0125493580140418	0.01315262050771064	0.0137533662390044	0.014345655869469221	0.01492282026629036	0.015477584811118892	0.016002261825889996	0.01648900376474895	0.016930102494589594	0.01731831388997506	0.017647182900544536	0.017911342771754084	0.018106763462000824	0.018230928403418552	0.018282925165838557	0.018263443585042317	0.018174683592552685	0.018020183336712296	0.01780458525706416	0.017533362771429643	0.017212532625589635	0.016848377536893878	0.016447200686533478	0.016015128360595945	0.01555797034639109	0.015081140449950223	0.014589632631565113	0.014088042575695096	0.0135806206254703	0.013071340241579537	0.012563966500222963	0.012062111346212377	0.011569265864966304	0.011088804106845276	0.010623957349884496	0.01017776156908374	0.009752983898856427	0.00935203583415438	0.008976881812636011	0.00862895180593563	0.008309065863142338	0.0080173774525596	0.007753341152463197	0.007515708876279311	0.007302557414359474	0.007111348587714924	0.006939021657122124	0.006782115748886068	0.006636917946771694	0.006499630456600232	0.006366548078568942	0.006234235407327148	0.006099692040514491	0.005960493903395103	0.005814899786801269	0.005661914396679692	0.005501302498158563	0.005333552802744147	0.00515979465191073	0.004981674774354812	0.004801204918882366	0.004620593553299056	0.00444207578490339	0.00426775510748383	0.004099468626514787	0.003938684356754743	0.0037864354573970875	0.0036432923668774683	0.0035093702083240585	0.0033843659615160346	0.003267618007623078	0.0031581798562504582	0.003054900105483762	0.0029565017728550224	0.002861655783875918	0.0027690452918220556	0.0026774193200893343	0.0025856357196678147	0.002492694462759951	0.0023977627952533843	0.002300193787402688	0.002199539470073114	0.002095559183771188	0.0019882231705177023	0.0018777109554232831	0.001764403803508677	0.001648870549987999	0.0015318463835608308	0.0014142046574772266	0.001296922423113507	0.001181041020593362	0.0010676236184833092	0.0009577119861357633	0.0008522849534030862	0.0007522209428669251	0.0006582666624395311	0.0005710135621927706	0.000490883049032583	0.00041812078642575044	0.00035279975374182237	0.00029483116242908967	0.00024398187130084164	0.000199896639919334	0.00016212341800227414	0.00013013988323616724	0.00010337958898944958	8.125633631220983e-05	6.318570504550809e-05	4.860302969380533e-05	3.6977452754357865e-05	2.782200316775786e-05	2.0699909917681552e-05	1.5227558483659074e-05	1.1074626902481735e-05	7.96200170787236e-06	5.658080434428734e-06	3.974028561200608e-06	2.7584881255533945e-06	1.892146000845899e-06	1.2824738005527917e-06	8.588580627252686e-07	5.682556246082057e-07	3.7143908581551635e-07	2.398427658678291e-07	1.5298046862044228e-07	9.638120089466482e-08	5.997547630584116e-08	3.686035253289348e-08	2.2373314300781584e-08	1.3411213855148878e-08	7.938816987385142e-09	4.640636292910745e-09	2.678665244357992e-09	1.5267383754158412e-09	8.592174418072636e-10	4.774431929764815e-10	2.619444318486564e-10	1.418910246160383e-10	7.58838093907385e-11	4.006660967644295e-11	2.088559187919609e-11	1.0748150420499869e-11	5.460545399224766e-12	2.73871435877014e-12	1.3559992652177533e-12	6.627781492202915e-13	3.1979181965380315e-13
background	saturation	0.006388356110571964	0.00713957951696233	0.007927660585410602	0.008746265910430514	0.00958788275671259	0.010443915887381416	0.011304829313880754	0.012160331070772948	0.012999596976898444	0.013811527249449094	0.014585027913526899	0.015309307317973215	0.015974176838849052	0.01657034411598537	0.01708968699039482	0.017525496724334785	0.01787268008975383	0.01812791146709726	0.018289728132928534	0.018358564329048872	0.018336722371040306	0.018228281827409307	0.018038950531614032	0.017775863730548052	0.017447339888779827	0.017062603442694783	0.016631486044788712	0.016164118500290404	0.015670625655735234	0.01516083596708878	0.014644016401711021	0.014128641790872727	0.013622205847499827	0.01313107891266731	0.012660415217065358	0.012214110162927432	0.011794805962824902	0.011403942015437558	0.011041844737193664	0.010707850262713469	0.01040045251280697	0.010117468619367633	0.009856213582955946	0.009613676293168037	0.009386689620587722	0.009172088137480591	0.00896684808061016	0.00876820536882132	0.008573748766064145	0.00838148657649382	0.008189886516995905	0.00799788958588189	0.007804899794468193	0.00761075251895483	0.0074156649398735945	0.007220172549803048	0.007025056019175274	0.006831262814340682	0.006639827868246627	0.006451797325612166	0.006268158941374509	0.006089782129551737	0.005917369970991599	0.005751424728582591	0.005592227626169762	0.005439832862637509	0.005294075094584256	0.005154588965945198	0.005020838721927354	0.0048921555417730635	0.004767779975656061	0.00464690678140082	0.004528729522856768	0.004412482500460332	0.004297477914405019	0.004183136584130297	0.004069011032575086	0.0039548002561595914	0.00384035600889154	0.0037256809015574275	0.003610919029856163	0.0034963401800935444	0.0033823189062629415	0.0032693099236886804	0.0031578213241854327	0.003048387093720236	0.0029415403178566805	0.002837788307430386	0.0027375906826266646	0.0026413412332391807	0.002549354140258982	0.0024618549107424644	0.0023789761532323037	0.0023007581114004123	0.002227153683357613	0.0021580374858480573	0.002093218377871061	0.0020324547382578762	0.001975471697535906	0.001921979457550932	0.0018716917947254913	0.001824343836701224	0.001779708229531367	0.0017376088750426595	0.0016979315158201886	0.0016606305772006121	0.001625731838417265	0.001593330693208019	0.0015635859662895782	0.0015367094668906768	0.0015129516735791035	0.0014925841449489193	0.0014758794276369192	0.0014630893769054195	0.001454422907646992	0.001450024249337913	0.0014499527839407415	0.0014541655004464988	0.0014625030056473216	0.0014746798921618674	0.0014902800879760458	0.0015087576046144973	0.0015294428724152405	0.0015515546108153804	0.0015742169389795042	0.0015964811974716927	0.0016173517347496367	0.0016358147223870345	0.0016508689087882363	0.001661557110478224	0.0016669971792675853	0.0016664111774441184	0.0016591515442347636	0.0016447231451666116	0.0016228002587914073	0.0015932377665881959	0.0015560760627003657	0.0015115394786453468	0.0014600283101086152	0.0014021048227403606	0.0013384738853451825	0.0012699591164454871	0.0011974756201437787	0.0011220005186027844	0.0010445425541427175	0.0009661120310927019	0.0008876922978687152	0.0008102138394425526	0.0007345318694682561	0.0006614080929455728	0.0005914970694867308	0.0005253373598244106	0.0004633473994854247	0.0004058258272826287	0.00035295581364336526	0.0003048127928121071	0.00026137490813497714	0.00022253543191331801	0.00018811641839841587	0.00015788288533681073	0.00013155688894892693	0.00010883095092696396	8.938040506018856e-05	7.287434674538258e-05	5.8984983051970356e-05	4.7395287600629316e-05	3.7804958259221375e-05	2.9934753215613607e-05	2.3529340645964057e-05	1.835883872748387e-05	1.4219247140081892e-05	1.0931980379530796e-05	8.342709691852217e-06	6.319707066535458e-06	4.751864368516165e-06	3.546536047854058e-06	2.6273273191592967e-06	1.9319232078455313e-06	1.4100289145364418e-06	1.0214695931598876e-06	7.344784944406272e-07	5.241867584409935e-07	3.7131592558040615e-07	2.6106524311905387e-07	1.821797028085722e-07	1.2618100900583372e-07	8.674187442558706e-08	5.918371685574817e-08	4.007856988885124e-08	2.693746663325955e-08	1.796941436955574e-08	1.189712162752926e-08	7.817698507521149e-09	5.098509963513209e-09	3.300147323085127e-09	2.1200568390693348e-09	1.3517123374361338e-09	8.553466790639741e-10	5.371799154851922e-10	3.3482330322923996e-10	2.0712311384819158e-10	1.2716193837605688e-10	7.74818776166403e-11	4.685504238137826e-11	2.8120597673547257e-11	1.6749568226075072e-11	9.901304524210809e-12	5.808845912364195e-12	3.382165569549274e-12	1.9543682571534217e-12	1.1207879404849828e-12	6.378888642604276e-13	3.603048819741388e-13	2.019751235146505e-13	1.1236402933657248e-13	6.203796026731598e-14	3.3992853090421906e-14	1.8484885396717324e-14	9.975716554003278e-15	5.342798631546507e-15	2.839815133087135e-15	1.4979837353981983e-15	7.841860580380219e-16	4.0740407231562455e-16	2.1005116801404294e-16	1.0747750910794543e-16	5.457605339039471e-17	2.7502869197028883e-17	1.3754491387654561e-17	6.8265464785922166e-18	3.3623807550536714e-18	1.643544278370409e-18	7.97267334181261e-19	3.838079400346939e-19	1.8336259783676856e-19	8.693482181071217e-20	4.0903683036720846e-20	1.909924137915972e-20	8.850225052435052e-21	4.06983173205941e-21	1.8572997208566244e-21	8.411441005986372e-22	3.780429668495416e-22	1.6861405064202581e-22	7.463245013818362e-23	3.278253139173826e-23	1.4290178033175147e-23	6.181767813367459e-24	2.6537937804776074e-24	1.1305782726704762e-24	4.77983201373736e-25	2.0054079502050368e-25	8.349692923156627e-26	3.4499716726076614e-26	1.414612196211674e-26	5.756197786334702e-27
